문장,범죄유형
원고들은 피해학생이 잘못된 행동을 하거나 원고들에게 욕설을 하는 것을 제지하기 위하여 이 사건 행위를 한 것일 뿐이어서 이는 학교폭력예방법상 '학교폭력'에 해당하지 않는다,False
 그리고 피고의 이 사건 처분은 지나치게 무거워 부당하다,False
 관계 법령,False
별지 기재와 같다,False
 판단,False
" 학교폭력예방법 제2조 제1호는 '학교폭력이란 학교 내외에서 학생을 대상으로 발생한 상해, 폭행, 감금, 협박, 약취·유인, 명예훼손·모욕, 공갈, 강요 강제적인 심부름 및 성폭력, 따돌림, 사이버 따돌림, 정보통신망을 이용한 음란·폭력 정보 등에 의하여 신체·정신 또는 재산상의 피해를 수반하는 행위를 말한다'고 규정하고 있다",False
" 학교폭력예방법의 목적 및 위와 같은 문언을 고려할 때, 학교폭력은 위에서 나열한 폭행, 명예훼손·모욕, 따돌림 등에 한정되지 아니하고, 이와 유사하거나 동질의 행위로서 학생의 신체·정신 또는 재산상의 피해를 수반하는 모든 행위를 포함한다",False
" 이 사건에서 원고들이 피해학생에게 행한 행위의 정도 및 태양에 다음의 각 사정을 종합해보면, 이 사건 행위는 학교폭력 예방법상 학교폭력에 해당한다고 봄이 타당하다",False
① 폭행이란 사람의 신체에 대하여 육체적·정신적으로 고통을 주는 유형력을 행사함을 뜻한다,False
" 원고들이 피해학생의 머리를 치고, 멱살을 잡고, 앉은 자리에서 의자를 뒤로 밀거나 분필을 던지고, 교복 와이셔츠로 머리를 때리고, 팔이나 배를 툭툭 친 행위 등은 모두 피해학생에게 신체적 고통을 가한 것은 분명하다",False
" 폭행의 정도가 비교적 경미하였다는 원고들의 주장을 받아들이더라도, 원고들이 피해학생을 때리게 된 경위와 당시 정황을 고려할 때, 피해자의 신체에 고통을 전혀 주지 않을 정도의 유형력 행사에 불과했다고는 보이지 않는다",False
 따라서 이 사건 행위는 모두 피해학생에 대한 폭행에 해당한다,False
" 비록 피해학생이 수업시간 중 잘못된 행동을 하거나 원고들에게 욕설을 하는 등의 행위를 먼저 하였다고 하더라도 그러한 사정은 원고들에 대한 조치 수위를 결정함에 있어 유리한 양정요소로 고려할 수 있을 뿐, 이 사건 행위를 폭행이 아니라거나 원고들의 귀책사유가 없다고 평가할 수는 없다",False
" 그리고 앞서 인정한 바와 같이 원고들이 피해학생을 폭행한 기간, 횟수, 그 행위 태양이 결코 가볍다고만은 볼 수 없는 점, 원고들은 피해학생과 그 부모가 원고들의 폭력을 학교폭력으로 신고한 이후에도 이를 반성하고 피해학생에게 사과하기는커녕 피해학생이 인식할 수 있을 정도의 거리에서 피해학생에 대한 보복의사를 표현하는 등 피해학생에게 더욱 큰 정신적인 고통을 가하였는바 비록 원고들이 제출한 증거들을 통해 확인할 수 있는 원고들에게 유리한 양정요소들을 모두 고려하더라도 이 사건 처분이 과중하다고 보기는 어렵다",False
 소결론,False
원고들의 이 사건 행위는 학교폭력에 해당하고 이 사건 처분이 과중하다고 보기도 어려우므로 결국 이 사건 처분은 적법하다,False
 결론,False
"그렇다면, 원고들의 이 사건 청구는 모두 이유 없으므로 이를 기각하기로 하여 주문과 같이 판결한다",False
,False
 처분의 경위,False
 원고는 까지 C초등학교(이하 'C초'라 한다)에 재학하다가 졸업하였다,False
 D은 까지 E초등학교(이하 'E초'라 한다)에 재학하다가 졸업하였다,False
" 원고와 D은 부터 2주간의 일정으로 미합중국 조지아주 애틀란타시에서 열린 「F<각주1>」(이하 '이 사건 캠프'라 한다)에 참가하였으며, 같은 숙소를 배정받았다",False
" D은  E초 측에 '이 사건 캠프에서 원고로부터 폭행, 폭언, 금품 갈취, 성추행 등을 당하였다'는 내용의 신고를 하였다(이하 '이 사건 신고'라 한다)",False
 E초 측은  C초 측에 이 사건 신고가 접수되었다고 통지하였다,False
" 한편, 원고는  C초 측에 '이 사건 캠프에서 D으로부터 성희롱, 폭언 및 성추행 무고 등을 당하였다'는 내용의 신고를 하였다",False
" 구 학교폭력예방 및 대책에 관한 법률( 법률 제16441호로 개정되기 전의 것, 이하 '구 학교폭력예방법'이라 한다) 제12조 제1항 단서, 구 학교폭력예방 및 대책에 관한 법률 시행령( 대통령령 제29950호로 개정되기 전의 것, 이하 '구 학교폭력예방법 시행령'이라 한다) 제13조 제1항에 따라 구성된 공동학교폭력대책자치위원회(이하 '이 사건 자치위원회'라 한다)는  개최된 회의(이하 '이 사건 회의'라 한다)에서 아래와 같은 내용의 의결을 하였다",False
<이미지1>,False
<이미지2>,False
" 피고는  이 사건 자치위원회의 요청에 따라 '원고가 부터  까지 사이에 이 사건 캠프 중 현지 숙소 및 학교에서 D에게 폭언, 폭행, 무릎 꿇고 손드는 벌을 세우는 괴롭힘, 금품 갈취 등의 학교폭력을 행사하였다'는 이유로 원고에게 10시간의 특별교육이수 및 5시간의 보호자 특별교육이수 조치를 하였다(이하 위 각 조치 중 10시간의 특별교육이수 조치를 '이 사건 제1처분'으로, 5시간의 보호자 특별교육이수 조치를 '이 사건 제2처분'으로 각 약칭 한다)",False
" 그 무렵 원고의 초등학교 학교생활기록에는 이 사건 제1처분에 관한 사항이 기록되었고, 현재까지 유지되고 있다(답변서 3쪽, 이하 '이 사건 기재 부분'이라 한다)",False
 원고 및 그 보호자는 부터 까지 사이에 이 사건 제분이 정한 특별교육을 모두 이수하였다,False
 원고는  서울특별시교육청 행정심판위원회에 이 사건 제분의 취소를 구하는 행정심판을 청구하였다,False
 그러나 위 행정심판위원회는  원고의 행정심판 청구를 모두 기각하였다,False
"[인정근거] 다툼 없는 사실, 갑 제1호증, 을 제증의 각 기재, 갑 제10호증의 영상, 변론 전체의 취지",False
 원고의 주장,False
와 같은 이유로 이 사건 제분은 위법하므로 모두 취소되어야 한다,False
 절차적 하자,False
피고는 이 사건 회의가 개최되기 전에 원고 및 그 보호자에게 미리 처분하려는 원인되는 사실을 통지할 의무가 있다,False
 이때 통지의 방식은 교육부가  발간한 「학교폭력 사안처리 가이드북」에 따라 서면으로 이루어져야 한다,False
 원고의 보호자는 피고 측으로부터 구두 설명이나 문자 메시지로 이 사건 회의의 개최 일정을 통지받았을 뿐이다,False
 원고 및 그 보호자에게는 구 학교폭력예방법 제17조 제5항 소정의 절차가 준수되지 않은 것이다,False
 실체적 하자,False
 처분사유의 부존재,False
 원고는 C초 측에 D의 학교폭력 사실을 신고하였다,False
 그럼에도 이 사건 회의의 안건에는 원고가 신고한 내용이 존재하지 않는다,False
" 이 사건 회의에서는 원고와 D의 진술이 첨예하게 대립하기 때문에 원고가 신고한 내용 역시 안건으로 상정한 다음 진술의 일관성, 임의성, 신빙성을 종합적으로 판단하여 합리적으로 본 사안이 다루어졌어야 한다",False
 그러나 이 사건 회의에서는 D의 허위 진술이 일방적으로 채택됨에 따라 원고만이 이 사건 제분이라는 불이익을 입게 되었다,False
" 원고는 이 사건 캠프 도중 D으로부터 성적 수치심을 안겨준 것에 대한 배상금으로서 미화 30달러를 지급받았으나, 이는 원고와 D 사이에 체결된 계약('원고가 향후 D의 변태적 성향에 대하여 누설하지 않는다는 조건으로 D이 원고에게 위자료를 지급한다'는 내용)에 따른 것이다",False
 그러므로 원고가 D으로부터 위 미화 30달러를 지급받은 행위는 구 학교폭력예방법 제2조 제1호 소정의 '공갈'에 해당하지 않는다,False
" 원고는 이 사건 캠프에서 D의 지속적인 음담패설로 상당한 고통을 받아 정신적으로 스트레스를 받아 왔으며, 자신이 받은 성적 학대에서 벗어나기 위하여 부단히 노력하였다",False
" 그러던 와중에 원고는 D이 한 언행이 거짓말임을 알게 되었으나, D로부터 사과를 받지 못하였다",False
" 이에 원고는 D의 뒷통수를 1회 때리고, 2회 벌을 세웠으며, 비밀을 유지하는 조건으로 돈을 받았다",False
" 이러한 사정에 비추어 원고는 학교폭력에 대한 구체적인 인식 없이 위와 같은 행위를 저질렀다 할 것이므로, 이를 구 학교폭력예방법 제2조 제1호에서 말하는 '학교폭력'으로 의율할 수 없다",False
 재량권의 일탈·남용,False
"원고는 D의 지나친 언사에 강한 거부의사를 표시하였으나, 이는 계속되었고, 거짓말이 발각된 이후에도 D으로부터 사과를 받지 못하였다",False
" 이 사건에서 원고의 행동은 그에 대한 방어 기제로 표출되었으며, 만약 원고가 폭력적인 학생이었다면 '벌세우기'라는 선도(先導) 형식을 취하지 않았을 것이다",False
 이후 D이 신고한 내용은 자신의 거짓말과 성적 특이성을 숨기기 위해 원고를 모함하는 언동에 불과하다,False
" 그럼에도 원고는 다소 잘못된 대처를 한 점에 대해서는 진심으로 반성하고 있으며, D에게도 별도로 사과를 하였다",False
" 여기에 원고의 평소 신념 및 교우 관계, 학업 생활 등까지 감안하면, 원고는 교정이 불가능할 정도로 폭력성이 있는 학생이 아니고, 보호자가 적절한 방법으로 원고를 교육하고 선도해 나간다면 자신의 잘못을 깊이 뉘우치고 성숙한 인격을 갖춘 학생으로 성장할 가능성이 크다",False
 그러므로 이 사건 제분은 재량권을 일탈·남용한 처분으로 보아야 한다,False
 신뢰보호의 원칙 위배,False
"C초의 교감 및 학생부장은 원고의 보호자에게 '원고가 C초에서 졸업하기 전까지 원고의 초등학교 학교생활기록에서 이 사건 기록을 삭제해주겠다'는 취지의 공적인 견해를 표명하였고, 원고와 그 보호자는 이를 신뢰하여 신속히 특별교육을 이수하였다",False
 그러나 현재까지도 원고의 초등학교 학교생활기록에는 이 사건 기재 부분이 남아 있다,False
 따라서 이 사건 제분은 신뢰보호의 원칙에 반한다,False
 피고의 본안 전 항변에 관한 판단,False
 피고의 주장,False
 원고는 이 사건 제1처분에 따른 특별교육을 이수했다,False
" 이 사건 기재 부분은 경 삭제될 예정이므로, 그로 인하여 원고가 고등학교 진학에 받는 불이익은 존재하지 않는다",False
 따라서 원고에게 이 사건 제1처분의 취소를 구할 법률상 이익이 없다,False
 이 사건 제2처분은 원고의 보호자에 대하여 특별교육의 이수를 명하는 처분이어서 처분의 상대방이 아닌 원고로서는 그 취소를 구할 법률상 이익이 없다,False
" 또한, 원고의 보호자는 이 사건 제2처분에 따른 특별교육을 이수했다",False
 관련 규정의 내용,False
" 행정소송법 제12조 후문은 '처분 등의 효과가 기간의 경과, 처분 등의 집행 그 밖의 사유로 인하여 소멸된 뒤에도 그 처분 등의 취소로 인하여 회복되는 법률상 이익이 있는 경우에는 취소소송을 제기할 수 있다'고 규정하고 있다",False
" 초·중등교육법 제25조 제1항은 ""학교의 장은 학생의 학업성취도와 인성 등을 종합적으로 관찰·평가하여 학생지도 및 상급학교의 학생 선발에 활용할 수 있는 법정의 자료를 교육부령으로 정하는 기준에 따라 작성·관리하여야 한다",False
"""라고 규정하고 있다",False
" 구 초·중등교육법 시행규칙( 교육부령 제177호로 개정되기 전의 것, 이하 '구 초·중등교육법 시행규칙'이라 한다) 제21조 제1항은 '구 학교폭력예방법 제17조의 조치사항이 있는 경우 그에 관한 사항을 학교생활기록의 학적사항(제2호), 출결사항(제3호), 행동특성 및 종합의견(제6호)에 기록하여야 한다'고 규정하고 있으며, 제24조 제3항 제2호는 ""학교의 장은 학교생활기록의 기록 사항 중 출결상황으로 기록된 구 학교폭력 예방법 제17조 제1항 제4호·제5호 및 제6호의 조치사항을 학생이 졸업한 날부터 2년이 지난 후에 지체 없이 삭제하여야 한다",False
" 다만, 교육부장관이 정하는 바에 따라 해당 학생이 졸업하기 직전에 구 학교폭력예방법 제12조 제1항에 따른 학교폭력대책자치위원회의 심의를 거쳐 해당 학생의 졸업과 동시에 삭제할 수 있다",False
"""라고 규정하고 있다(현행 초·중등교육법 시행규칙 제22조 제3항 제2호 역시 같은 취지이다)",False
" 구 초·중등교육법 시행규칙 제21조 제2항의 위임에 따른 구 학교생활기록 작성 및 관리지침( 교육부훈령 제280호로 개정되기 전의 것) 제18조 제4항은 ""학교의 장은 학교생활세부사항기록부(학교생활기록부 II)의 출결상황의 '특기사항' 란에 입력된 구 학교폭력예방법 제17조 제1항 제4호제5호·제6호의 조치사항 등을 학생이 졸업한 날로부터 2년이 지난 후에는 삭제하여야 한다",False
" 다만, 해당 학생의 반성 정도와 긍정적 행동변화 정도를 고려하여 졸업하기 직전에 구 학교폭력예방법 제12조 제1항에 따른 학교폭력대책자치위원회의 심의를 거쳐 학생의 졸업과 동시에 삭제할 수 있다",False
"""라고 규정하고 있다",False
 이 사건 소 중 이 사건 제1처분에 관한 취소청구 부분의 적법 여부,False
"원고가 이 사건 제1처분에 따른 특별교육을 이수한 사실, 원고의 초등학교 학교생활기록에 이 사건 기재 부분이 현재까지 남아 있는 사실은 앞서 본 바와 같다",False
"앞서 인정한 사실 및 갑 제43호증의 기재에 변론 전체의 취지를 더하여 알 수 있는 다음과 같은 사정들, 즉 ① 이 사건 기재 부분은 구 초·중등교육법 시행규칙 제24조 제3항 제2호에 따라 원고가 C초를 졸업한 날로부터 2년이 지난 후에 삭제될 것이기는 하나, 만약 원고의 주장과 같이 이 사건 제1처분이 위법한 탓에 이 사건 기재 부분이 정정되어야 한다면, 이 사건 기재 부분이 장차 삭제될 예정인 것과는 별개로 원고로서는 이 사건 제1처분의 취소를 구할 실익이 없다고 보기 어려운 점, ② 원고는 현재 재학 중인 H중학교를 조기졸업하여 상급학교 내지 그에 준하는 학교에 진학할 여지도 있는데(초·중등교육법 제27조 및 영재교육 진흥법 제5조 제, 같은 법 시행령 제14조 제2항), 그 과정에서 상급학교 등이 신입생을 선발하는 기준으로서 초등학교 학교생활기록의 제출을 요구할 가능성이 열려 있는 점, ③ 실제로 원고는 경 H중학교장의 추천을 받아 영재학교인 I고등학교의 2021학년도 입학 전형에 지원한 점 등을 종합하면, 원고로서는 이 사건 기재 부분이 초·중등교육법령에 따라 삭제되기 전에 초등학교 학교생활기록이 상급학교 등에 제공될 경우 그로 인하여 앞으로 입학 등에서 불이익을 받을 우려가 있다고 보이고, 이는 사실상의 불이익을 넘어서는 제약에 해당한다",False
"결국 이 사건 제1처분이 집행되었다 하더라도, 여전히 원고에게는 이 사건 제1처분의 취소를 구할 법률상 이익이 존재한다",False
 이와 전제를 달리하는 피고의 본안 전 항변은 받아들이지 아니한다,False
 이 사건 소 중 이 사건 제2처분에 관한 취소청구 부분의 적법 여부,False
원고의 보호자가 이 사건 제2처분에 따른 특별교육을 이수한 사실은 앞서 본 바와 같다,False
" 즉, 이 사건 제2처분의 집행은 완료된 것이다",False
" 이미 집행이 완료된 행정처분에 대한 취소를 구하는 소는 그 처분이 있었던 사실로 말미암아 어떠한 법률상 이익의 침해가 계속되고 있다고 볼 만한 특별한 사정이 없는 한 그 취소를 구할 법률상 이익이 없어 부적법하다고 할 것인데, 원고의 초등학교 학교생활기록에 이 사건 제2처분에 관한 사항이 기재되어 있지 않은 사정 등에 비추어 이 사건 제2처분이 있었다는 사실이 현재까지도 계속하여 원고의 법률상 지위에 어떠한 영향을 미친다고 보기 어렵다[구 학교폭력예방법 제17조 제1항 제5호, 제9항의 형식과 내용에 비추어 보면, 구 학교폭력예방법 제17조 제9항에 따른 가해학생의 보호자에 대한 특별교육이수 조치는 가해학생이 선도·교육을 위하여 특별교육을 이수하는 경우 그 목적을 달성하기 위하여 해당 학생의 보호자에게도 부과되는 것으로서 구 학교폭력예방법 제17조 제1항 제5호에 따른 가해학생의 특별교육이수 조치에 대한 관계에서 부수적인 성격이 있음은 부인하기 어려우므로, 앞서 본 바와 같이 이 사건 제1처분에 대하여는 취소를 구할 법률상 이익이 있음에도, 이 사건 제2처분에 대하여 그 취소를 구할 법률상 이익이 없다고 결론짓는 것이 일응 모순되는 것으로 볼 여지가 없지 않다",False
" 그러나 ① 이 사건 제1처분에 대한 집행이 완료되었으나, 해당 처분이 있었던 사실이 여전히 원고의 초등학교 학교생활기록에 존재하는 관계로 말미암아 법률상 이익의 침해가 계속되는 특별한 사정이 있어 예외적으로 그 취소를 구할 법률상 이익이 인정될 뿐인 점, ② 반면에 이 사건 제2처분에는 그와 같은 특별한 사정이 존재하지 아니하는 점, ③ 가해학생의 보호자에 대한 특별교육이수 조치에는 부수적인 성격이 있지만 그 자체로 독자적인 처분임은 명백하며, 여기서 말하는 부수적인 성격은 가해학생과 그 보호자에 대한 각 특별교육이수조치가 모두 이행되지 않는 경우 가해학생에 대한 처분이 취소된다면 보호자 특별교육이수처분도 그 근거를 상실하게 되어 취소되어야 한다는 것에 의의가 있는 점 등을 종합하여 보면, 이 사건 제1처분과 달리 이 사건 제2처분에 대하여는 그 취소를 구할 법률상 이익이 없다는 결론이 모순된다고 볼 수는 없다]",False
따라서 이 부분 소는 이 사건 제2처분의 취소를 구할 법률상의 이익이 없어 부적법하다,False
 관계 법령 등,False
별지 관계 법령 등 기재와 같다,False
 이 사건 제1처분의 적법 여부,False
 절차적 하자 유무,False
 인정사실,False
" D은  이 사건 캠프의 주관기관 측에 '이 사건 캠프에서 원고로부터 폭행, 폭언, 금품 갈취, 성추행 등을 당하였다'는 내용의 신고를 하였다",False
 원고와 D은  이 사건 캠프의 주관기관 측에 자신이 입었다,False
고 주장하는 피해사실을 기재한 각 사실확인서를 제출하였다,False
" 원고의 보호자는  이 사건 캠프의 주관기관 측으로부터 원고와 D의 진술 요지를 전달받았으며, 원고와 전화 통화를 하였다",False
" C초 소속의 교원(교장, 교감, 학생부장, 생활인성부장 등)은 부터 까지 사이에 원고의 보호자와 여러 차례<각주2>에 걸쳐 대면 상담 및 전화 통화를 실시하였으며, 그 자리에서 사안의 성격, 조사 경과, 향후 조치 등에 관하여 논의하였다",False
" 또한, 원고의 보호자는  C초 측에 사실확인서 및 그에 관한 참고자료를 제출하였고, 원고는  및  C초 측에 자신이 입었다고 주장하는 피해사실을 기재한 각 사실확인서를 제출하였다",False
" 한편, 원고는  서울지방경찰청에 D을 아동복지법위반, 명예훼손, 무고 등의 혐의로, D의 보호자를 무고 등의 혐의로, 이 사건 캠프의 주관기관 측담당자들을 아동복지법위반, 감금, 유기 등의 혐의로 각 고소하였다",False
" 그중 D에 대한 사건에 대해서는  소년부송치 결정이 이루어졌으며, 현재 서울가정법원 2019푸5754호로 계속 중이다",False
"[인정근거] 다툼 없는 사실, 갑 제증, 을 제증의 각 기재, 변론 전체의 취지",False
 관련 규정,False
"구 학교폭력예방법 제17조 제5항은 ""자치위원회는 학교의 장에게 가해학생에 대한 조치를 요청하기 전에 가해학생 및 보호자에게 의견진술의 기회를 부여하는 등 적정한 절차를 거쳐야 한다",False
"""라고 규정하고 있다",False
" 이는 침익적 조치를 취하기 전에 상대방에게 조치와 관련한 문제 상황을 정확히 파악하게 하고 의견진술의 기회를 부여함으로써 방어의 기회를 주고 적절한 조치를 하기 위한 것이므로, 위 조항에 규정된 '가해학생 및 보호자에게 의견진술의 기회를 부여하는 등 적정한 절차'에는 자치위원회 회의를 개최하기 전에 미리 가해학생 및 보호자에게 조치하려는 원인이 되는 사실(이는 자치위원회 회의 개최의 원인이 된 학교폭력의 일시, 장소, 행위내용 등 구체적 사실을 의미한다)을 통지하는 것이 상대방의 방어권 보장을 위해 반드시 포함되어야 할 것이다",False
" 다만, 가해학생 및 보호자가 그 조치하려는 원인이 되는 사실에 관하여 미리 고지를 받고 의견을 진술할 기회를 부여받은 것으로 평가할 수 있다면, 위 조항이 정한 적정한 절차를 거쳤다고 할 수 있다",False
 판단,False
"앞서 인정한 사실 및 갑 제3호증, 을 제8호증의 각 기재에 변론 전체의 취지를 더하여 알 수 있는 다음과 같은 사정들을 종합하면, 이 사건 자치위원회가 원고에 대한 특별교육이수 조치를 요청하기 전에 구 학교폭력예방법 제17조 제5항에 따라 원고 및 그 보호자에게 의견진술의 기회를 부여하는 등 적정한 절차를 거쳤다고 봄이 타당하다",False
 이와 전제를 달리하는 원고의 주장은 받아들이지 않는다,False
" 원고가 절차적 하자 주장의 근거로 드는「학교폭력 사안처리 가이드북」은 교육부가 관련 법령, 유권해석의 내용, 교육부 지침 등을 교육현장의 담당자들이 이해하기 쉽게 정리한 안내서로서 어떠한 법규적 구속력을 갖는 것은 않는다",False
" 설령 피고가 이 사건 제1처분을 함에 있어 위 가이드북에 정해진 절차를 준수하지 않았다고 하더라도, 이러한 사정만으로 곧바로 이 사건 제1처분에 절차상 위법이 있다고 볼 수 없다(대법원  자 2019두36469 심리불속행 판결의 제1심 판결인 춘천지방법원 강릉지원  선고 2018구합30014 판결 참조)",False
 원고는  및  자신이 학교폭력을 저질렀는지 여부에 관하여 각 사실확인서를 제출하였다,False
" 원고의 보호자는 이 사건 신고의 접수 사실이 통지된 시점부터 이 사건 자치위원회가 개최되기 직전까지 C초 소속의 교원과 사안의 성격, 조사 경과, 향후 조치 등에 관하여 논의하였으며,  제출한 사실확인서에도 원고가 D에게 한 행동 중 인정하는 사항을 구체적으로 특정 하였다(을 제8호증 4쪽)",False
" 또한, 원고의 보호자는  이전에 이 사건 회의가 개최되는 일시 및 장소를 알고 있었다(갑 제3호증)",False
"<각주3> 이러한 경과에 비추어 볼 때, 원고와 그 보호자는 이 사건 회의가 있기 전에 원고가 D에게 저지른 학교폭력의 내용을 알고 있었을 뿐만 아니라 그에 관하여 구 학교폭력예방 법령에 따른 보호·징계 조치 절차가 진행될 것임을 충분히 인지하고 있었다",False
" 원고와 그 보호자는 이 사건 회의에 출석하였으며, 그 자리에서 일부 사실관계를 인정하되 제반 정상을 참작하여 선처를 구하는 취지의 의견을 각각 밝혔다",False
" 회의록상 이들이 이 사건 회의 당시 의견진술의 기회를 충분히 부여받은 것으로 보이며, 당시 사전통지가 적절하게 이루어지지 못하였다거나 방어권 행사에 지장이 있었다는 취지의 주장을 하지 않았다",False
 실체적 하자 유무,False
 처분사유의 존부,False
"앞서 인정한 사실 및 을 제4 내지 6호증의 각 기재에 변론 전체의 취지를 더하여 알 수 있는 다음과 같은 사정들을 종합하면, 원고는 이 사건 캠프에서 D에게 폭언, 폭행, 괴롭힘, 금품 갈취 행위를 함으로써 구 학교폭력예방법 제2조 제1호 소정의 '학교폭력'을 저질렀다 할 것이다",False
 이와 전제를 달리하는 원고의 주장 역시 받아들이지 않는다,False
" 이 사건 자치위원회는 원고가 가해학생이고 D이 피해학생임을 전제로 원고의 선도·교육을 위하여 어떠한 조치를 취할지를 심의하였다(원고는 이 사건 회의에서 D이 원고에게 가한 학교폭력이 다루어지지 않은 것 자체가 잘못되었다고 주장하나, 구 학교폭력 예방법령은 쌍방이 가해자이자 피해자인 사안이 반드시 같은 기회에 함께 심의되어야 한다고 규정하고 있지 않으며, 설령 원고의 주장과 같이 D의 학교폭력이 존재하였다고 하더라도 이는 D이 가해학생으로서 별도의 징계조치를 받아야 할 사유에 불과하므로, 이 사건 회의에서 원고가 D에게 가한 학교폭력만이 다루어졌다는 것만으로 이 사건 제1처분이 위법하다고 볼 수 없다)",False
" 이 사건 자치위원회는 충분한 시간을 들여 D 측과 원고 측의 주장을 청취한 다음, 원고와 D의 진술이 모두 일치하는 부분에 한정하여 논의하기로 결정하였다(을 제4호증 14쪽)",False
" 이 사건 회의에 상정된 안건(을 제4호증 1쪽)을 기준으로 할 때, 원고와 D의 진술이 모두 일치하는 부분은 아래와 같다",False
<이미지3>,False
"원고는 이 사건 회의 이전에 제출한 각 사실확인서를 통하여 ""제가 친구를 때리고, 욕하고, 돈을 뺏은 것에 대해 잘못했다고 인정합니다",False
"""라고 진술한 바 있으며(을 제5호증 2쪽, 을 제6호증 3쪽), 이 사건 소에 이르러서도 D에게 폭행을 가하고 벌을 세운 사실, 30달러를 받은 사실은 인정하고 있다(소장 34쪽), 그렇다면 이 사건 자치위원회는 강제수사를 할 권한이 없는 행정기관의 한계를 고려하여 가능한 범위 내에서 원고가 D에게 가한 학교폭력 사실을 추렸을 뿐이고, 원고의 주장과 같이 D의 허위 진술을 일방적으로 채택하여 원고를 징계한 것이 아니다",False
" D과 원고는 모두 D이 이 사건 캠프 도중에 원고에게 여자친구 유무 등과 관련된 거짓말을 하였고, 원고가 D에게 거짓말을 하였다는 이유로 폭행을 가하고 무릎 꿇고 손을 들게 한 다음 다른 친구들에게 거짓말을 한 사실을 발설하지 않는 대가로 금원<각주4>을 달라고 요구하였으며, 이에 D이 원고에게 금원을 주었다는 취지로 진술하였다",False
" 그런데 원고는 당시 D의 정신과 신체에 상당한 위협을 가하였으며, D이 원고에게 순순히 금원을 준 것은 그러한 위협에서 벗어나기 위한 활동의 일환으로 볼 수 있다",False
" 또한, 이 사건 캠프에 참가한 학생들은 보호자 없이 장기간 외국에서 체류하였으며, 학생들의 참여 활동이 주가 되었고, 특히 숙소에서는 한국말이 통하지 않는 현지주민들과 함께 지내야 했으므로, 무엇보다도 또래 집단과의 관계를 원만하게 형성하는 것이 중요한 과제였는데, 원고가 내건 조건은 또래 집단 내에서의 신뢰도와 관련된 사항으로서 청소년기에 있는 학생의 관점에서는 그 자체로도 의사결정의 자유를 제한하거나 의사실행의 자유를 방해할 정도로 겁을 먹게 할 만한 해악을 고지하는 것으로 봄이 상당하다",False
" 이러한 사정을 고려할 때, 원고는 위와 같은 언동을 통하여 D에게 상당한 외포심을 불러일으켰고, 그로 인한 하자 있는 동의를 이용하여 금원을 취득하였다고 봄이 상당하다",False
" 즉, 원고는 D으로부터 위와 같이 금원을 지급받은 행위는 구 학교폭력예방법 제2조 제1호 소정의 '공갈'에 해당하는 것이다",False
" 앞서 본 각 행위의 양태, 원고의 자인 진술 등에 비추어 원고는 D에게 '폭언을 한 사실', '폭행을 한 사실', '무릎을 꿇고 손을 들게 한 사실', '금품을 갈취한 사실' 자체를 인식하였으며, 이를 본인의 의사에 따라 실현하였다",False
" 그렇다면 원고는 위 각 행위를 함에 있어 고의가 있었고, 위법성 또한 인식하고 있었음이 명백하다",False
 재량권의 일탈·남용 여부,False
 관련 규정 및 법리,False
"구 학교폭력예방법 제17조 제1항은 ""자치위원회는 피해학생의 보호와 가해학생의 선도·교육을 위하여 가해학생에 대하여 다음 각 호의 어느 하나에 해당하는 조치를 할 것을 학교의 장에게 요청하여야 하며, 각 조치별 적용기준은 대통령령으로 정한다",False
